feature,nonnull,n
phys_qtaim_nontrigger_bcp_laplacian_p50,4239,5649
phys_qtaim_nontrigger_bcp_laplacian_p95,4239,5649
phys_qtaim_nontrigger_bcp_laplacian_std,4239,5649
phys_qtaim_nontrigger_bcp_rho_max,4239,5649
phys_qtaim_nontrigger_bcp_rho_mean,4239,5649
phys_qtaim_nontrigger_bcp_rho_min,4239,5649
phys_qtaim_nontrigger_bcp_rho_p05,4239,5649
phys_qtaim_nontrigger_bcp_rho_p50,4239,5649
phys_qtaim_nontrigger_bcp_rho_p95,4239,5649
phys_qtaim_nontrigger_bcp_rho_std,4239,5649
phys_qtaim_nontrigger_bcp_sign_lambda2_rho_max,4239,5649
phys_qtaim_nontrigger_bcp_sign_lambda2_rho_mean,4239,5649
phys_qtaim_nontrigger_bcp_sign_lambda2_rho_min,4239,5649
phys_qtaim_nontrigger_bcp_sign_lambda2_rho_p05,4239,5649
phys_qtaim_nontrigger_bcp_sign_lambda2_rho_p50,4239,5649
phys_qtaim_nontrigger_bcp_sign_lambda2_rho_p95,4239,5649
phys_qtaim_nontrigger_bcp_sign_lambda2_rho_std,4239,5649
phys_qtaim_pair_C_C_count,4239,5649
phys_qtaim_pair_C_N_H_max,4239,5649
phys_qtaim_pair_C_N_H_mean,4239,5649
phys_qtaim_pair_C_N_H_min,4239,5649
phys_qtaim_pair_C_N_H_p05,4239,5649
phys_qtaim_pair_C_N_H_p50,4239,5649
phys_qtaim_pair_C_N_H_p95,4239,5649
phys_qtaim_pair_C_N_H_std,4239,5649
phys_qtaim_pair_C_N_count,4239,5649
phys_qtaim_pair_C_N_ellipticity_max,4239,5649
phys_qtaim_pair_C_N_ellipticity_mean,4239,5649
phys_qtaim_pair_C_N_ellipticity_min,4239,5649
phys_qtaim_pair_C_N_ellipticity_p05,4239,5649
phys_qtaim_pair_C_N_ellipticity_p50,4239,5649
phys_qtaim_pair_C_N_ellipticity_p95,4239,5649
phys_qtaim_pair_C_N_ellipticity_std,4239,5649
phys_qtaim_pair_C_N_laplacian_max,4239,5649
