Source_Group,source_kind,n
AL04,bde_parent_gbw,95
AL05,bde_parent_gbw,483
AL06,bde_parent_gbw,474
AL07,bde_parent_gbw,459
AL08,bde_parent_gbw,451
BASE,bde_parent_gbw,2087
CODX_VSBDE_active_learning_20260623,active_step2_molden,217
GPT_AL,bde_parent_gbw,1383
