"SourceRoot","SourceRelative","TargetRelative","Action","Note"
"Manuscript/06_code_release","remote_collect_qtaim_top20_records_20260608.py","remote_collect_qtaim_top20_records_20260608.py","copied_missing","added to submission code package"
"Manuscript/06_code_release","remote_find_qtaim_records_20260608.sh","remote_find_qtaim_records_20260608.sh","copied_missing","added to submission code package"
"Manuscript/06_code_release","remote_probe_q01_paths_20260608.sh","remote_probe_q01_paths_20260608.sh","copied_missing","added to submission code package"
"Manuscript/06_code_release","remote_run_collect_qtaim_records_20260608.sh","remote_run_collect_qtaim_records_20260608.sh","copied_missing","added to submission code package"
"codex_remote_scripts","add_final_heat_of_explosion_q_outputs_20260607.py","remote_scripts\add_final_heat_of_explosion_q_outputs_20260607.py","copied_missing","added to submission code package"
"codex_remote_scripts","compute_final_synthesis_readiness_deepaudit_20260606.py","remote_scripts\compute_final_synthesis_readiness_deepaudit_20260606.py","copied_missing","added to submission code package"
"codex_remote_scripts","generate_npj_major_revision_p0_package_20260607.py","remote_scripts\generate_npj_major_revision_p0_package_20260607.py","copied_missing","added to submission code package"
"codex_remote_scripts","parse_top20_qm_validation_summary_20260607.py","remote_scripts\parse_top20_qm_validation_summary_20260607.py","copied_missing","added to submission code package"
"codex_remote_scripts","run_npj_targetwise_leakage_masking_ablation_20260607.py","remote_scripts\run_npj_targetwise_leakage_masking_ablation_20260607.py","copied_missing","added to submission code package"
"codex_remote_scripts","run_npj_targetwise_leakage_masking_ablation_20260607.slurm","remote_scripts\run_npj_targetwise_leakage_masking_ablation_20260607.slurm","copied_missing","added to submission code package"
"codex_remote_scripts","run_top20_qm_refine_AL05_Target_0483_20260607.slurm","remote_scripts\run_top20_qm_refine_AL05_Target_0483_20260607.slurm","copied_missing","added to submission code package"
"Manuscript/06_code_release","render_qtaim_vmd_mechanism_20260607.py","render_qtaim_vmd_mechanism_20260607.py","existing_kept_target_differs","left unchanged to preserve current package edits"
